recording_id,time,flex0,flex1,flex2,flex3,flex4,accX,accY,accZ,gyroX,gyroY,gyroZ,label
0,756,815,825,767,866,863,-0.719,0.537,-0.667,42.191,-0.916,-26.618,Bye
0,760,818,823,776,871,870,-0.727,0.550,-0.663,13.901,-1.206,-49.969,Bye
0,764,816,829,770,862,861,-0.716,0.539,-0.641,-12.359,-2.969,-71.656,Bye
0,768,816,829,767,868,863,-0.709,0.524,-0.611,-33.321,-7.504,-92.695,Bye
0,772,820,834,768,868,863,-0.693,0.506,-0.581,-47.473,-13.206,-108.786,Bye
0,776,813,827,771,867,870,-0.677,0.491,-0.579,-53.779,-20.153,-115.710,Bye
0,780,806,830,767,866,875,-0.666,0.489,-0.583,-54.397,-25.954,-110.061,Bye
0,784,810,827,777,861,858,-0.648,0.481,-0.597,-48.802,-28.366,-96.458,Bye
0,788,832,841,780,864,867,-0.643,0.453,-0.595,-36.695,-28.351,-81.634,Bye
0,792,818,842,784,863,869,-0.630,0.433,-0.598,-19.481,-27.969,-68.550,Bye
0,796,818,832,773,865,867,-0.625,0.431,-0.598,-2.397,-26.634,-56.595,Bye
0,800,824,833,769,866,865,-0.627,0.442,-0.599,13.130,-25.611,-43.710,Bye
0,804,816,822,763,865,863,-0.628,0.445,-0.608,29.015,-25.504,-29.405,Bye
0,808,815,831,768,865,867,-0.636,0.449,-0.613,46.450,-26.115,-14.313,Bye
0,812,820,836,782,863,867,-0.639,0.460,-0.604,63.702,-28.229,2.603,Bye
0,816,819,830,773,863,863,-0.656,0.473,-0.592,79.229,-33.618,21.450,Bye
0,820,811,825,768,865,871,-0.669,0.490,-0.581,90.229,-42.298,38.969,Bye
0,824,807,831,777,864,867,-0.680,0.496,-0.569,95.389,-53.573,49.992,Bye
0,828,813,818,774,869,863,-0.683,0.508,-0.555,95.924,-66.656,52.794,Bye
0,832,822,833,763,860,864,-0.685,0.516,-0.550,90.863,-80.687,48.771,Bye
0,836,816,832,768,865,866,-0.678,0.534,-0.568,81.412,-92.496,42.298,Bye
0,840,817,834,772,867,863,-0.669,0.540,-0.585,69.870,-103.191,37.565,Bye
0,844,817,829,767,864,866,-0.650,0.558,-0.619,55.679,-105.649,31.336,Bye
0,848,815,817,758,867,866,-0.634,0.562,-0.652,40.267,-102.641,27.611,Bye
0,852,816,832,768,865,864,-0.623,0.553,-0.667,27.427,-96.656,21.565,Bye
0,856,818,827,765,871,863,-0.604,0.546,-0.689,13.435,-85.305,8.580,Bye
0,860,821,827,772,864,863,-0.592,0.545,-0.695,-2.237,-70.595,-8.290,Bye
0,864,819,831,765,867,862,-0.588,0.532,-0.698,-13.771,-57.397,-25.221,Bye
0,868,816,831,771,863,869,-0.590,0.532,-0.699,-23.740,-44.000,-39.679,Bye
0,872,816,831,775,859,864,-0.587,0.531,-0.705,-31.282,-31.931,-47.198,Bye
0,876,816,838,768,859,863,-0.601,0.535,-0.687,-34.290,-24.115,-47.061,Bye
0,880,819,835,766,867,864,-0.621,0.518,-0.675,-32.687,-20.122,-43.328,Bye
0,884,816,831,766,867,867,-0.619,0.521,-0.670,-30.313,-18.763,-38.672,Bye
0,888,798,811,750,850,844,-0.636,0.521,-0.648,-31.962,-19.313,-36.870,Bye
0,892,816,843,779,863,867,-0.648,0.515,-0.632,-31.489,-24.008,-35.420,Bye
0,896,822,832,773,863,874,-0.647,0.499,-0.629,-28.511,-31.137,-32.954,Bye
0,900,822,830,771,871,867,-0.646,0.510,-0.615,-27.473,-37.198,-31.260,Bye
0,904,817,834,769,865,867,-0.646,0.507,-0.612,-27.092,-42.908,-28.824,Bye
0,908,818,827,761,863,855,-0.647,0.507,-0.611,-24.855,-50.130,-23.489,Bye
0,912,819,834,768,865,877,-0.638,0.510,-0.607,-21.954,-57.885,-15.573,Bye
0,916,825,819,765,861,859,-0.615,0.495,-0.599,-18.992,-62.870,-7.725,Bye
0,920,816,821,773,865,855,-0.602,0.484,-0.586,-15.313,-68.069,-1.053,Bye
0,924,816,834,774,865,865,-0.575,0.466,-0.547,-10.145,-72.611,3.015,Bye
0,928,826,831,769,866,866,-0.547,0.451,-0.522,-4.275,-76.244,4.191,Bye
0,932,831,839,769,866,856,-0.518,0.431,-0.474,1.221,-80.656,5.168,Bye
0,936,823,825,772,866,866,-0.489,0.430,-0.436,6.550,-87.053,8.160,Bye
0,940,828,839,771,870,869,-0.456,0.411,-0.401,12.847,-93.511,13.282,Bye
0,944,825,832,779,864,867,-0.424,0.401,-0.387,21.412,-99.618,23.344,Bye
0,948,821,832,777,866,873,-0.380,0.393,-0.358,31.221,-103.916,38.450,Bye
0,952,812,843,775,865,874,-0.346,0.382,-0.336,43.115,-104.992,56.740,Bye
0,956,825,829,782,870,867,-0.302,0.378,-0.337,54.672,-100.542,75.878,Bye
0,960,832,832,784,870,883,-0.269,0.376,-0.355,63.145,-89.298,94.366,Bye
0,964,832,835,783,871,880,-0.252,0.367,-0.363,69.809,-74.145,107.359,Bye
0,968,826,832,783,871,878,-0.230,0.359,-0.369,73.855,-54.382,113.015,Bye
0,972,833,832,787,870,880,-0.240,0.352,-0.392,75.443,-33.260,113.321,Bye
0,976,827,833,788,868,880,-0.246,0.357,-0.415,75.649,-11.443,112.115,Bye
0,980,826,827,784,868,876,-0.260,0.362,-0.430,74.908,11.771,112.786,Bye
0,984,830,823,784,871,880,-0.271,0.373,-0.457,73.702,36.244,113.695,Bye
0,988,840,827,802,867,887,-0.308,0.357,-0.474,73.763,60.924,112.618,Bye
0,992,819,820,777,862,895,-0.339,0.370,-0.488,71.771,83.748,107.687,Bye
0,996,833,832,799,868,896,-0.389,0.385,-0.503,66.725,105.489,99.511,Bye
0,1000,842,845,791,867,883,-0.444,0.402,-0.519,56.893,121.649,88.908,Bye
0,1004,833,830,806,867,894,-0.508,0.422,-0.560,43.321,135.008,76.221,Bye
0,1008,839,829,797,871,898,-0.578,0.441,-0.593,28.748,143.893,63.496,Bye
0,1012,835,835,810,869,898,-0.646,0.468,-0.617,11.382,149.366,51.985,Bye
0,1016,848,828,814,871,903,-0.728,0.496,-0.665,-8.160,149.137,43.015,Bye
0,1020,845,830,814,871,906,-0.807,0.509,-0.722,-28.496,143.557,33.374,Bye
0,1024,858,830,817,869,905,-0.884,0.528,-0.794,-50.099,137.275,20.870,Bye
0,1028,853,834,819,871,903,-0.967,0.540,-0.854,-72.901,122.443,6.985,Bye
0,1032,840,831,816,875,903,-1.014,0.540,-0.916,-98.504,113.870,-17.290,Bye
0,1036,850,832,815,871,911,-1.080,0.534,-0.966,-124.038,98.603,-46.076,Bye
0,1040,857,831,819,869,912,-1.131,0.527,-0.998,-148.405,76.160,-75.931,Bye
0,1044,848,838,815,869,913,-1.138,0.493,-1.035,-161.702,54.969,-106.718,Bye
0,1048,846,842,816,875,925,-1.133,0.467,-1.038,-166.580,30.359,-125.061,Bye
0,1052,846,848,822,868,913,-1.085,0.435,-1.037,-159.611,10.183,-124.305,Bye
0,1056,861,844,813,871,920,-1.008,0.375,-0.991,-133.206,-4.473,-113.176,Bye
0,1060,854,841,816,873,914,-0.921,0.321,-0.946,-96.000,-11.542,-94.282,Bye
0,1064,861,848,819,870,913,-0.851,0.315,-0.872,-61.252,-15.450,-64.992,Bye
0,1068,850,843,812,871,927,-0.773,0.276,-0.783,-25.794,-17.649,-38.206,Bye
0,1072,852,838,819,877,928,-0.713,0.240,-0.705,13.863,-21.366,-15.046,Bye
0,1076,859,846,817,868,929,-0.646,0.239,-0.609,51.527,-28.115,15.237,Bye
0,1080,861,847,819,870,931,-0.586,0.232,-0.537,90.023,-34.244,55.206,Bye
0,1084,861,836,827,871,932,-0.531,0.219,-0.481,131.550,-37.328,100.756,Bye
0,1088,850,845,822,869,924,-0.495,0.222,-0.453,170.099,-39.382,148.015,Bye
0,1092,862,844,815,871,924,-0.486,0.238,-0.440,199.130,-39.656,187.267,Bye
0,1096,859,845,826,877,931,-0.502,0.259,-0.447,217.137,-38.466,208.771,Bye
0,1100,864,848,818,871,931,-0.546,0.293,-0.473,221.374,-40.252,213.313,Bye
0,1104,860,848,825,877,927,-0.589,0.331,-0.534,211.618,-41.038,203.336,Bye
0,1108,857,848,822,869,933,-0.636,0.378,-0.599,190.634,-38.031,181.573,Bye
0,1112,853,848,821,874,923,-0.686,0.415,-0.681,161.870,-32.809,153.695,Bye
0,1116,858,847,817,869,922,-0.742,0.452,-0.758,125.939,-25.733,120.573,Bye
0,1120,864,848,818,870,930,-0.781,0.474,-0.826,83.473,-16.878,77.260,Bye
0,1124,855,850,821,868,924,-0.820,0.486,-0.871,40.061,-10.015,29.695,Bye
0,1128,865,847,818,869,930,-0.853,0.485,-0.892,-4.992,-7.115,-23.267,Bye
0,1132,868,848,818,871,937,-0.862,0.472,-0.900,-47.893,-2.244,-77.206,Bye
0,1136,866,848,820,873,924,-0.856,0.464,-0.880,-82.282,1.160,-122.366,Bye
0,1140,853,847,827,871,939,-0.840,0.430,-0.871,-107.908,3.366,-159.855,Bye
0,1144,865,849,819,869,928,-0.818,0.400,-0.847,-119.221,3.695,-182.191,Bye
0,1148,859,848,819,874,927,-0.786,0.383,-0.807,-120.855,4.313,-191.870,Bye
0,1152,863,862,819,870,931,-0.765,0.358,-0.772,-111.099,1.855,-189.427,Bye
0,1156,864,850,816,869,922,-0.753,0.338,-0.746,-92.885,-3.206,-176.832,Bye
0,1160,861,861,823,876,917,-0.728,0.320,-0.707,-67.855,-8.893,-156.725,Bye
0,1164,865,848,816,871,931,-0.715,0.315,-0.685,-39.718,-16.031,-129.374,Bye
0,1168,866,854,816,875,925,-0.697,0.306,-0.656,-7.519,-25.527,-97.420,Bye
0,1172,861,851,817,875,931,-0.685,0.294,-0.635,27.405,-34.992,-62.977,Bye
0,1176,860,851,820,875,931,-0.673,0.304,-0.619,62.122,-44.916,-27.313,Bye
0,1180,861,851,817,871,941,-0.664,0.305,-0.608,94.527,-55.588,7.962,Bye
0,1184,865,853,818,867,940,-0.666,0.308,-0.597,124.954,-66.855,38.244,Bye
0,1188,851,859,817,875,930,-0.670,0.327,-0.610,149.107,-77.328,62.008,Bye
0,1192,857,851,816,871,931,-0.674,0.353,-0.618,166.611,-87.038,79.321,Bye
0,1196,845,829,804,866,909,-0.693,0.375,-0.653,176.038,-95.389,89.321,Bye
